city,site.ID,plant,root.1.L,root.2.L,root.3.L,root.4.L,root.5.L,root.1.nod,root.2.nod,root.3.nod,root.4.nod,root.5.nod,total.root.L,total.nod,nod.density
Toronto,site.26,8,2.2,2.5,5.1,4,0,0,0,0,3,0,13.8,3,0.217391304
Toronto,site.26,9,2.5,3.7,3.5,2.2,0,1,0,0,2,0,11.9,3,0.25210084
Toronto,site.26,10,2.9,2.1,2.3,3.3,0,4,0,0,2,0,10.6,6,0.566037736
Toronto,site.27,1,1.6,2.1,2.9,2.2,0,1,2,4,0,0,8.8,7,0.795454545
Toronto,site.27,2,2.4,3.9,2,1.3,0,0,2,2,0,0,9.6,4,0.416666667
Toronto,site.27,3,3.3,1.4,3.2,2.4,0,1,0,0,0,0,10.3,1,0.097087379
Toronto,site.27,4,4.5,5.3,6.5,0,0,0,0,0,0,0,16.3,0,0
Toronto,site.27,5,2.7,1.5,5.4,0,0,0,1,4,0,0,9.6,5,0.520833333
Toronto,site.27,6,2.5,3.1,3.2,3.2,0,0,0,2,0,0,12,2,0.166666667
Toronto,site.27,7,2.6,2.7,2.7,4.2,0,0,0,0,6,0,12.2,6,0.491803279
Toronto,site.27,8,1.5,2.5,1.6,6,0,0,2,0,2,0,11.6,4,0.344827586
Toronto,site.27,9,0.7,3,1.3,1,1.6,0,1,1,1,0,7.6,3,0.394736842
Toronto,site.27,10,2.3,1.9,3.1,4.3,0,4,2,0,4,0,11.6,10,0.862068966
Toronto,site.28,1,2.1,2.8,0.6,1.6,1.4,0,4,1,3,1,8.5,9,1.058823529
Toronto,site.28,2,4.2,4.9,3.5,0,0,4,2,4,0,0,12.6,10,0.793650794
Toronto,site.28,3,2.8,2.6,4.7,0,0,0,0,2,0,0,10.1,2,0.198019802
Toronto,site.28,4,3.4,2.2,3.2,1.8,0,1,0,2,1,0,10.6,4,0.377358491
Toronto,site.28,5,2.2,2.7,0,0,0,0,3,0,0,0,4.9,3,0.612244898
